('95 Heck St',' Lynn',' AL','35575','121023548','49441'),
('1552 Monterey Pl',' Mobile',' AL','36604','51015139','403236'),
('619 Ouachita 65',' Camden',' AR','71701','76220157','155609'),
('1175 Lafayette 9',' Bradley',' AR','71826','239466433','42992'),
('1001 Union St',' Jonesboro',' AR','72401','90770794','292109'),
('312 S Reeves St',' Monette',' AR','72447','112607897','108888'),
('3901 W Pioneer Rd',' Phoenix',' AZ','85086','2114321265','409394'),
('26 Sowles Ave',' Bisbee',' AZ','85603','7390125','232346'),
('113 E Safford St',' Tombstone',' AZ','85638','7408030','214058'),
('2000 Slaughter House Canyon Rd',' Kingman',' AZ','86401','191822403','200011'),
('5121 Franklin Ave',' Los Angeles',' CA','90027','20809687','4878561'),
('2475 Glendower Pl',' Los Angeles',' CA','90027','20809000','3396227'),
('421 N Ave 19',' Los Angeles',' CA','90031','20741187','965709'),
('2400 Laurel Canyon Blvd',' Los Angeles',' CA','90046','145643454','2492304'),
('8763 Wonderland Ave',' Los Angeles',' CA','90046','20800819','849317'),
('8433 Sunset Blvd',' Los Angeles',' CA','90069','20797301','1608558'),
('1005 N Rexford Dr',' Beverly Hills',' CA','90210','20522563','19650442'),
('11547 Braddock Dr',' Culver City',' CA','90230','20438974','1092974'),
('480 Fourth Ave',' San Diego',' CA','92101','80620352','422675'),
('1500 Orange Ave',' Coronado',' CA','92118','2094761925','2379699'),
('2541 Paso Robles St',' Oceano',' CA','93445','15437264','598674'),
('2090 Jackson St',' San Francisco',' CA','94109','15073498','12874025'),
('1000 Lombard St',' San Francisco',' CA','94109','2085732023','5109912'),
('1990 California St',' San Francisco',' CA','94109','2097339728','1013023'),
('2220 Sacramento St',' San Francisco',' CA','94115','63196697','5496607'),
('6114 California St',' San Francisco',' CA','94121','15090939','1864990'),
('46958 Zapotec Dr',' Fremont',' CA','94539','25027676','1966569'),
('17110 Bodega Ln',' Bodega',' CA','94922','119688894','1498347'),
('223 N Oregon St',' Yreka',' CA','96097','15978013','486940'),
('420 E 11th Ave',' Denver',' CO','80203','82262709','2619701'),
('31 S Main St',' East Windsor',' CT','6088','57708197','74192'),
('77 Forest St',' Hartford',' CT','6105','59287335','176700'),
